name,city,source,link,min_salary,max_salary,currency
Уборщица / Уборщик бизнес-центра,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42725892?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,18000.0,,руб.
Дворник,Ставрополь,HH.RU,https://hh.ru/vacancy/42824745?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,16500.0,,руб.
Дворник Октябрьская 19,Вологда,HH.RU,https://hh.ru/vacancy/42503795?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,6000.0,6000.0,руб.
Дворник,Волгоград,HH.RU,https://hh.ru/vacancy/42869694?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Уборщик офисных помещений,Москва,HH.RU,https://hh.ru/vacancy/42868874?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,,
Дворник,Тверь,HH.RU,https://hh.ru/vacancy/41464614?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,20000.0,24000.0,руб.
Санитарка-уборщица / санитар-уборщик,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42201426?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,35000.0,37000.0,руб.
Дворник,Омск,HH.RU,https://hh.ru/vacancy/42692104?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,12000.0,16000.0,руб.
Уборщица/Уборщик,Москва,HH.RU,https://hh.ru/vacancy/42850805?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,52000.0,,руб.
Уборщица/Уборщик в офис,Москва,HH.RU,https://hh.ru/vacancy/42780444?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,,40000.0,руб.
Уборщик офисных помещений,Санкт-Петербург,HH.RU,https://hh.ru/vacancy/42876243?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,8500.0,,руб.
Уборщик в магазин,Салехард,HH.RU,https://hh.ru/vacancy/42675352?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,30000.0,40000.0,руб.
Дворник,Волгоград,HH.RU,https://hh.ru/vacancy/39152754?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,14000.0,14000.0,руб.
Дворник,Новосибирск,HH.RU,https://hh.ru/vacancy/42863434?query=%D0%B4%D0%B2%D0%BE%D1%80%D0%BD%D0%B8%D0%BA,22000.0,22000.0,руб.
